Variant_Type,Option,Price_Group,Caption1,Caption2,Option_Group
CTTW,650,650,6.50 cttw,6.50 cttw,
CTTW,670,670,6.70 cttw,6.70 cttw,
CTTW,700,700,7.00 cttw,7.00 cttw,
CTTW,720,720,7.20 cttw,7.20 cttw,
CTTW,750,750,7.50 cttw,7.50 cttw,
CTTW,770,770,7.70 cttw,7.70 cttw,
CTTW,800,800,8.00 cttw,8.00 cttw,
CTTW,820,820,8.20 cttw,8.20 cttw,
CTTW,850,850,8.50 cttw,8.50 cttw,
CTTW,870,870,8.70 cttw,8.70 cttw,
CTTW,900,900,9.00 cttw,9.00 cttw,
CTTW,920,920,9.20 cttw,9.20 cttw,
CTTW,950,950,9.50 cttw,9.50 cttw,
CTTW,970,970,9.70 cttw,9.70 cttw,
CTTW,1000,1000,10.00 cttw,10.00 cttw,
CTTW,1020,1020,10.20 cttw,10.20 cttw,
CTTW,1050,1050,10.50 cttw,10.50 cttw,
CTTW,1070,1070,10.70 cttw,10.70 cttw,
CTTW,1100,1100,11.00 cttw,11.00 cttw,
CTTW,1150,1150,11.50 cttw,11.50 cttw,
CTTW,1200,1200,12.00 cttw,12.00 cttw,
CTTW,1250,1250,12.50 cttw,12.50 cttw,
CTTW,1300,1300,13.00 cttw,13.00 cttw,
CTTW,1350,1350,13.50 cttw,13.50 cttw,
CTTW,1400,1400,14.00 cttw,14.00 cttw,
CTTW,1450,1450,14.50 cttw,14.50 cttw,
CTTW,1500,1500,15.00 cttw,15.00 cttw,
CTTW,1550,1550,15.50 cttw,15.50 cttw,
CTTW,1600,1600,16.00 cttw,16.00 cttw,
CTTW,1650,1650,16.50 cttw,16.50 cttw,
CTTW,1700,1700,17.00 cttw,17.00 cttw,
CTTW,1750,1750,17.50 cttw,17.50 cttw,
CTTW,1800,1800,18.00 cttw,18.00 cttw,
CTTW,1850,1850,18.50 cttw,18.50 cttw,
CTTW,1900,1900,19.00 cttw,19.00 cttw,
CTTW,1950,1950,19.50 cttw,19.50 cttw,
CTTW,2000,2000,20.00 cttw,20.00 cttw,
