StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,PLAT,G-H / SI (Mined),910.00
WBRDFP,WBRDFP-240M05,Round,French Pave,5 Stone,2.4 mm,PLAT,E-F / VS  (Lab Grown),800.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,10,F-G / VS (Mined),665.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,10,G-H / SI (Mined),590.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,10,E-F / VS  (Lab Grown),425.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,14,F-G / VS (Mined),915.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,14,G-H / SI (Mined),840.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,14,E-F / VS  (Lab Grown),675.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,18,F-G / VS (Mined),1175.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,18,G-H / SI (Mined),1100.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,18,E-F / VS  (Lab Grown),940.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,PLAT,F-G / VS (Mined),1150.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,PLAT,G-H / SI (Mined),1080.00
WBRDFP,WBRDFP-270M05,Round,French Pave,5 Stone,2.7 mm,PLAT,E-F / VS  (Lab Grown),915.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,10,F-G / VS (Mined),285.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,10,G-H / SI (Mined),270.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,10,E-F / VS  (Lab Grown),255.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,14,F-G / VS (Mined),425.00
WBRDFP,WBRDFP-140M07,Round,French Pave,7 Stone,1.4 mm,14,G-H / SI (Mined),415.00
