DesignNumber,Type,Thumbnail_Folder,Image_Folder,SubType,PrimaryShape,PrimarySetting,AccentShape,AccentSetting,Texture,Halo,ShankStudded,ShankType
BR04000016,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000016/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000016/,,,,,,,,,
BR04000017,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000017/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000017/,,,,,,,,,
BR04000018,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000018/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000018/,,,,,,,,,
BR04000019,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000019/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000019/,,,,,,,,,
BR04000020,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000020/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000020/,,,,,,,,,
BR04000021,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000021/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000021/,,,,,,,,,
BR04000022,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000022/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000022/,,,,,,,,,
BR04000023,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000023/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000023/,,,,,,,,,
BR04000024,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000024/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000024/,,,,,,,,,
BR04000025,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000025/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000025/,,,,,,,,,
BR04000026,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000026/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000026/,,,,,,,,,
BR04000027,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000027/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000027/,,,,,,,,,
BR04000028,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000028/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000028/,,,,,,,,,
BR04000029,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR04000029/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR04000029/,,,,,,,,,
